"Date","BGN","CAD","CNY","EUR","GBP","HRK","ILS","SGD","USD"
"2019-02-04",0.0238548108,0.0182956621,0.0940763552,0.0121968756,0.0107048864,0.0904411571,0.0503447671,0.0188728194,0.0139477348
"2019-02-05",0.0238846691,0.0182872744,0.0939638997,0.0122105091,0.0107524755,0.0905343305,0.0502564654,0.0188205586,0.0139311448
"2019-02-06",0.0240516022,0.0184702061,0.0942655823,0.0122967929,0.0108059888,0.0911851648,0.0506043228,0.0189460838,0.0139758517
"2019-02-07",0.0240913217,0.0185940087,0.0942137694,0.0123196465,0.0107876176,0.0912490254,0.0507344883,0.0189571811,0.0139681699
"2019-02-08",0.0242675696,0.0186614916,0.0947833852,0.0123971977,0.0108566293,0.0918679268,0.0512114252,0.0190625481,0.0140524338
"2019-02-09",0.0242447667,0.0186572884,0.0947631827,0.0123944515,0.0108487277,0.0918084365,0.051201083,0.0190585415,0.0140494803
"2019-02-10",0.0242505236,0.0186571784,0.0947827718,0.0124099669,0.0108633408,0.0918276564,0.0512117884,0.0190541635,0.0140525721
"2019-02-11",0.0243432959,0.018674115,0.0953529983,0.0124465088,0.0109132961,0.0921744106,0.0511791503,0.019098198,0.0140378382
"2019-02-12",0.0243610775,0.0186800407,0.0956513537,0.0124580672,0.0109531586,0.0922879721,0.0513665468,0.0191475536,0.01411999
"2019-02-13",0.0245054536,0.0187091382,0.0953856634,0.012525527,0.0109756383,0.0927836564,0.0514618053,0.0191819353,0.0141091364
"2019-02-14",0.0243805903,0.0187243632,0.0953567995,0.0124664817,0.0110025452,0.0923305047,0.0514610923,0.0191221337,0.0140803742
"2019-02-15",0.0242811734,0.0185679892,0.0949471345,0.0124094524,0.0108702737,0.0919708285,0.0507096272,0.0190202105,0.0140180202
"2019-02-16",0.0242830128,0.0185691813,0.0949540719,0.0124102491,0.0108709717,0.091977715,0.0507121822,0.0190214317,0.0140189202
"2019-02-17",0.0242829197,0.0185637169,0.0949550844,0.0124103448,0.010863345,0.0919778634,0.0507132741,0.0190173727,0.0140190283
"2019-02-18",0.0241129243,0.0184582025,0.0943624999,0.0123279658,0.0107908397,0.0913995266,0.0504583977,0.0189164258,0.0139447162
"2019-02-19",0.0240899586,0.0184485526,0.0943816629,0.0123137906,0.0106926841,0.0912834209,0.0505492268,0.0188906599,0.013964222
"2019-02-20",0.0241698883,0.018468316,0.094235281,0.0123573555,0.0107482635,0.0916240291,0.050590851,0.0189497678,0.0140201447
"2019-02-21",0.0242300606,0.0185780465,0.0943903199,0.0123858325,0.0107709915,0.0918630662,0.0508400348,0.0190112178,0.0140457605
"2019-02-22",0.0242960437,0.0184927365,0.0945192285,0.0124122501,0.0107849309,0.0922087451,0.0508368306,0.0190213336,0.0140771552
"2019-02-23",0.0242788142,0.0184928016,0.094518435,0.012412153,0.0107844058,0.0921555762,0.0508361648,0.0190216821,0.0140772047
"2019-02-24",0.0242764276,0.0184869753,0.0945109433,0.0124107952,0.0107743213,0.092164336,0.0508320385,0.0190059568,0.0140759841
"2019-02-25",0.024217547,0.0185452117,0.0940825414,0.0123751477,0.010714458,0.0919726442,0.0507320438,0.0189771204,0.0140641062
"2019-02-26",0.0241953478,0.0185557946,0.0944421838,0.0123720332,0.0106325684,0.0918915513,0.051020401,0.0189934446,0.0140950068
"2019-02-27",0.0241377737,0.0184612878,0.0939111397,0.0123404796,0.0105447935,0.0916789953,0.0507957149,0.0189310282,0.0140430602
"2019-02-28",0.0242883192,0.0185882371,0.0945136074,0.0124144659,0.0106443795,0.0922469593,0.0511498079,0.0190862107,0.0141188995
"2019-03-01",0.024246304,0.018728437,0.0944602312,0.0123797069,0.0106630497,0.0920297556,0.0511499899,0.0190881632,0.0140848145
"2019-03-02",0.024244804,0.0187272464,0.0944540912,0.0123790129,0.010662452,0.0920247377,0.0511475452,0.0190872341,0.014084025
"2019-03-03",0.0242453265,0.0187104671,0.09445669,0.0123815332,0.0106395834,0.0920261574,0.0511478024,0.0190594767,0.0140843285
"2019-03-04",0.0243288313,0.0187736165,0.0945878504,0.0124391233,0.0107013295,0.0924543535,0.0511219932,0.0191012068,0.0141020353
"2019-03-05",0.0244433577,0.0188758045,0.0948033061,0.0125008127,0.0107436124,0.0927850627,0.0511293965,0.019162429,0.0141333567
"2019-03-06",0.0245696095,0.0191024653,0.0953723657,0.0125609612,0.010779976,0.0932415493,0.0512767137,0.0192812175,0.0142092321
"2019-03-07",0.024777436,0.0190718086,0.0952536511,0.0126673042,0.0108357842,0.0938949049,0.0514170308,0.0192989046,0.0141846346
"2019-03-08",0.0248745472,0.019167136,0.0960278269,0.0127107082,0.0109752415,0.0942487878,0.0518552837,0.0194167129,0.0142860286
"2019-03-09",0.0248747434,0.0191673199,0.0960266041,0.0127108783,0.010975265,0.094247704,0.0518551091,0.0194167545,0.0142860592
"2019-03-10",0.0248594857,0.0191730562,0.0960277138,0.0127193216,0.0109999924,0.0942732409,0.0518547398,0.0194207768,0.0142860755
"2019-03-11",0.0248938675,0.0191908734,0.096367536,0.0127247198,0.0108150305,0.0943226068,0.0519126047,0.0194481729,0.0143262514
"2019-03-12",0.0248072835,0.0191247772,0.0960355872,0.0126830002,0.0109568902,0.0940512336,0.0517462226,0.019414514,0.0143150602
"2019-03-13",0.0247515247,0.01906828,0.0961770951,0.0126554507,0.010794064,0.0938419374,0.0516268457,0.0193979408,0.0143393167
"2019-03-14",0.0249425043,0.0192153594,0.0969477578,0.0127520794,0.0108767736,0.0946407207,0.0520162674,0.0195477377,0.0144198831
"2019-03-15",0.0250339305,0.0193518685,0.097348632,0.0127821021,0.0108879364,0.0949060675,0.0521361746,0.0195816972,0.0145002349
"2019-03-16",0.0250336803,0.0193516421,0.0973498177,0.0127819033,0.0108878906,0.0949068284,0.0521359554,0.0195813249,0.0145001739
"2019-03-17",0.0250337351,0.0193488636,0.0973543488,0.0128105001,0.010905586,0.0949072658,0.0521363836,0.0196204556,0.0145003737
"2019-03-18",0.0251404508,0.0194379055,0.0978216379,0.0128545148,0.0109868893,0.095332102,0.0525112109,0.0196926148,0.0145714712
"2019-03-19",0.024849192,0.019220026,0.096817587,0.012703631,0.0108701782,0.0941910948,0.0519827355,0.0194920654,0.0144241428
"2019-03-20",0.0248626016,0.0193049251,0.0972565064,0.0127126203,0.011001605,0.0942808971,0.052477384,0.0195502897,0.0145272147
"2019-03-21",0.0249355626,0.0193863985,0.0971563435,0.0127501413,0.0110446696,0.0945518735,0.052236162,0.0195641969,0.0145023104
"2019-03-22",0.0250264846,0.0194397123,0.097122375,0.0127705707,0.0109431056,0.0951196953,0.0523589494,0.0195546427,0.0144566497
"2019-03-23",0.0250079224,0.0194400046,0.097126582,0.0127709072,0.0109386439,0.0950439257,0.0523590137,0.0195547921,0.0144568671
"2019-03-24",0.0250077886,0.0194121436,0.0971233157,0.0127988851,0.0109482714,0.0950429837,0.0523593119,0.0195603257,0.0144567897
"2019-03-25",0.0250745737,0.0194308653,0.0973305789,0.0128204514,0.0109777056,0.0950981915,0.0526536745,0.019582457,0.0145063833
"2019-03-26",0.0249792373,0.0192696438,0.0967144384,0.0127736078,0.0109011803,0.0948051441,0.0521462855,0.0194701068,0.0144010731
"2019-03-27",0.0250521292,0.0193316482,0.0969627935,0.0128105104,0.0109601354,0.0951602705,0.0523870313,0.0195429467,0.0144132655
"2019-03-28",0.0250577884,0.0193214533,0.0969435894,0.0128101943,0.0110186774,0.0951958031,0.0521686143,0.0195110485,0.014385072
"2019-03-29",0.0251082352,0.0192360864,0.0966606933,0.0128217535,0.0110402504,0.095460688,0.0522590571,0.0195174749,0.0144006396
"2019-03-30",0.0251076326,0.019224325,0.0966589063,0.0128215929,0.0110402561,0.0954609321,0.0522584024,0.0195173744,0.0144004592
"2019-03-31",0.0251078966,0.0192242391,0.0966604984,0.012830944,0.0110586609,0.0954620796,0.0522595278,0.019504043,0.0144006106
"2019-04-01",0.0252217626,0.0192375327,0.0969800699,0.0128953905,0.0110574235,0.0957748433,0.0523154483,0.0195841744,0.0144494263
"2019-04-02",0.0253258005,0.0193639038,0.0975544181,0.0129510562,0.0110535218,0.09622449,0.0525796049,0.0196712121,0.0145093616
"2019-04-03",0.0252579808,0.0193776224,0.0974576191,0.0129129454,0.0110214611,0.0959661839,0.0523179976,0.0196465483,0.0145208378
"2019-04-04",0.0252636291,0.0193755184,0.0973838157,0.012916674,0.0110873398,0.095999964,0.0520328819,0.0196416772,0.0144966656
"2019-04-05",0.0251870922,0.019343398,0.0970364958,0.0128595363,0.0110787095,0.0957433056,0.0516721413,0.0195681499,0.0144442106
"2019-04-06",0.0251866786,0.0193430468,0.0970363252,0.0128595433,0.0110787356,0.0957437266,0.0516713001,0.0195677963,0.0144440562
"2019-04-07",0.0252086712,0.0193340593,0.0971198991,0.0128882646,0.011088843,0.095827473,0.0517164186,0.0195864728,0.0144566685
"2019-04-08",0.0249531795,0.0191400718,0.0965518114,0.0127715002,0.0110060624,0.0948402811,0.0515852571,0.0194768864,0.014375359
"2019-04-09",0.0250609077,0.0192427536,0.0968913786,0.0128144036,0.0110565715,0.0952210268,0.0516847659,0.0195349317,0.0144356741
"2019-04-10",0.0250827635,0.0192602167,0.0971270914,0.0128245267,0.0110412054,0.0952658258,0.0517497213,0.0195479891,0.0144609249
"2019-04-11",0.0250076528,0.0192636808,0.096751653,0.0127871158,0.0110292096,0.0950645871,0.0515313179,0.0195244366,0.0143984459
